Date,Real Rate,Policy Deviations,TR Cape,M2 (in Billions),Gold,BAA Spread,Bank Credit (in Billions),VIX,Michigan Sentiment 
3/1/12,-0.07834,-1.08845,24.32,9846.2,1742.6,3.06,9297.5166,17.26,76.2
4/1/12,-0.26443,-1.13998,24.02,9899.8,1673.8,3.14,9335.7383,15.64,76.4
5/1/12,-0.45226,-1.32781,23.1,9943,1650.1,3.27,9365.649,16.6,79.3
6/1/12,-0.57229,-1.44784,22.67,10013,1585.5,3.4,9385.1155,26.66,73.2
7/1/12,-0.57996,-1.28496,23.17,10065.7,1596.7,3.34,9431.0285,16.8,72.3
8/1/12,-0.25525,-0.96026,23.63,10136.4,1593.9,3.23,9467.1507,18.96,74.3
9/1/12,-0.28824,-0.99325,24.04,10216.6,1626,3.12,9498.9762,17.98,78.3
10/1/12,-0.24465,-0.91089,23.82,10282.8,1744.5,2.83,9516.3562,16.32,82.6
11/1/12,-0.30285,-0.9691,23.07,10351.8,1747,2.86,9573.9398,16.69,82.7
12/1/12,-0.17969,-0.84594,23.46,10474.4,1721.1,2.91,9624.0693,16.64,72.9
1/1/13,0.0002,-0.77506,24.19,10497.6,1688.5,2.82,9652.4884,14.68,73.8
2/1/13,-0.00874,-0.784,24.37,10516.6,1671,2.87,9664.9136,12.9,77.6
3/1/13,0.07098,-0.70428,24.78,10572.9,1627.6,2.89,9668.8869,15.36,78.6
4/1/13,0.04444,-0.60155,24.98,10600.4,1592.9,2.83,9727.4112,13.58,76.4
5/1/13,0.28445,-0.36154,25.88,10634.7,1485.1,2.8,9725.0183,14.49,84.5
6/1/13,0.6769,0.03091,25.35,10692.3,1413.5,2.89,9734.31,16.28,84.1
7/1/13,0.87978,0.11149,25.98,10731.5,1342.4,2.74,9725.0873,16.37,85.1
8/1/13,0.95789,0.1896,25.83,10789.6,1286.7,2.68,9715.1038,12.94,82.1
9/1/13,1.05806,0.28977,25.92,10850,1347.1,2.66,9726.6214,16.61,77.5
10/1/13,0.93316,0.07984,26.36,10974.2,1348.8,2.69,9757.8234,15.54,73.2
11/1/13,0.97833,0.12501,27.25,10982.9,1316.2,2.66,9791.0019,13.28,75.1
12/1/13,1.15914,0.30583,27.48,11047.8,1275.8,2.48,9825.0468,14.23,82.5
1/1/14,1.25297,0.66659,27.47,11117.6,1225.4,2.33,9858.5326,14.23,81.2
